;Term;Occurrences;Stopword
fruit;fruit;2;
fruits;fruit;6;
fuient;fuient;1;
fusee;fuse;1;
fusée;fus;1;
futur;futur;5;
futures;futur;6;
gagnants;gagn;1;
gagne;gagn;10;
gagné;gagn;1;
gagner;gagn;11;
gagnera;gagn;2;
gagnerons;gagn;2;
gaiete;gaiet;1;
gaite;gait;2;
galileo;galileo;1;
galopaient;galop;1;
garant;gar;7;
garante;gar;1;
garanti;garant;1;
garantie;garant;4;
garanties;garant;1;
garantir;garant;8;
garantira;garant;1;
garantirons;garant;1;
garantissant;garant;1;
garantisse;garant;1;
garantissent;garant;1;
garantit;garant;5;
gardant;gard;1;
garde;gard;1;
gardent;gardent;1;
garder;gard;3;
gardez;gard;1;
gardien;gardien;2;
gardiens;gardien;1;
gardiez;gard;2;
gardons;gardon;2;
gars;gar;2;
gaz;gaz;1;
gendarme;gendarm;2;
gendarmerie;gendarmer;1;
gendarmes;gendarm;8;
général;général;10;
générale;général;1;
généralement;général;1;
généralisant;généralis;1;
généralisation;généralis;1;
generation;gener;1;
génération;géner;4;
générations;géner;10;
généreuse;géner;1;
genereusement;gener;1;
genereuses;gener;1;
genereux;gener;1;
généreux;géner;2;
generosite;generosit;1;
générosité;généros;4;
génétiques;génet;1;
genève;genev;2;
génie;gen;5;
génique;géniqu;1;
génome;génom;1;
gens;gen;6;
géographie;géograph;3;
géorgienne;géorgien;1;
gérald;gérald;2;
gérer;ger;1;
gèrerez;ger;1;
geste;gest;1;
gestes;gest;3;
gestion;gestion;2;
ghettos;ghettos;1;
gign;gign;1;
gilets;gilet;1;
giscard;giscard;2;
gisement;gis;2;
glacée;glac;1;
glorieuses;glorieux;1;
glorieux;glorieux;1;
golfe;golf;2;
gorbatchev;gorbatchev;4;
goulag;goulag;1;
goût;goût;3;
goûts;goût;1;
gouvernants;gouvern;1;
gouvernement;gouvern;69;
gouvernements;gouvern;3;
gouverner;gouvern;1;
grace;grac;1;
grâce;grâc;34;
grammaire;grammair;1;
grand;grand;36;
grande;grand;32;
grandes;grand;33;
grandeur;grandeur;4;
grandi;grand;1;
grandir;grand;2;
grandissantes;grand;1;
grandit;grand;3;
grands;grand;22;
gratitude;gratitud;1;
gratuité;gratuit;1;
gratuits;gratuit;1;
grave;grav;6;
gravées;grav;1;
gravement;grav;1;
graves;grav;4;
gravité;gravit;4;
grèce;grec;1;
grenelle;grenel;1;
grise;gris;2;
grossir;gross;1;
groupe;group;2;
guadeloupe;guadeloup;1;
guère;guer;2;
guéri;guer;1;
guerre;guerr;24;
guerres;guerr;3;
guettait;guet;1;
guidé;guid;1;
guider;guid;3;
guyane;guyan;2;
habitants;habit;1;
habitation;habit;1;
habite;habit;4;
habités;habit;1;
habitude;habitud;4;
habitudes;habitud;7;
hachées;hach;1;
hadopi;hadop;1;
haine;hain;4;
haines;hain;2;
haineuse;haineux;1;
handicap;handicap;5;
handicapées;handicap;2;
handicapes;handicap;3;
handicapés;handicap;3;
handicaps;handicap;2;
harmonie;harmon;1;
harmonisant;harmonis;1;
hater;hat;1;
hausse;hauss;1;
haut;haut;4;
haute;haut;5;
hautes;haut;1;
hauteur;hauteur;2;
hauts;haut;1;
hebdo;hebdo;1;
hebdomadaire;hebdomadair;1;
hébergement;héberg;1;
hélas;hel;4;
helsinki;helsink;1;
héritage;héritag;2;
héritiers;hériti;1;
héros;héros;2;
hésitations;hésit;1;
hésite;hésit;1;
hésité;hésit;4;
hésiter;hésit;1;
heure;heur;11;
heures;heur;12;
heureuse;heureux;25;
heureusement;heureux;2;
heureux;heureux;16;
heurter;heurt;2;
hexagone;hexagon;6;
hier;hi;4;
his;his;1;
hisser;hiss;1;
histoire;histoir;39;
historique;histor;7;
historiques;histor;3;
hommage;hommag;9;
homme;homm;19;
hommes;homm;31;
homosexuels;homosexuel;1;
honneur;honneur;10;
honoré;honor;1;
honorée;honor;1;
hôpital;hôpital;6;
hopitaux;hopital;1;
hôpitaux;hôpital;3;
horizon;horizon;5;
horizons;horizon;2;
horreur;horreur;2;
horreurs;horreur;2;
hors;hor;3;
hospices;hospic;1;
hospitalier;hospitali;2;
hôtellerie;hôteller;3;
hui;hui;37;
huit;huit;5;
humain;humain;6;
humaine;humain;11;
humaines;humain;2;
humains;humain;3;
humaniser;humanis;2;
humanisme;human;1;
humaniste;human;2;
humanitaire;humanitair;2;
humanitaires;humanitair;1;
humanite;humanit;1;
humanité;human;6;
humilité;humil;2;
hypercacher;hypercach;1;
hypocrisie;hypocris;1;
idéal;idéal;2;
idéaux;idéal;4;
idée;idé;5;
idees;ide;1;
idées;idé;5;
identifiait;identifi;1;
identifiés;identifi;1;
identité;ident;10;
idéologies;idéolog;1;
ignorance;ignor;1;
ignore;ignor;1;
ignorer;ignor;3;
illettrisme;illettr;1;
illisible;illisibl;1;
illusion;illus;2;
illusions;illus;1;
image;imag;5;
images;imag;4;
imaginaire;imaginair;5;
imaginatifs;imagin;1;
imagination;imagin;2;
imaginative;imagin;1;
imagine;imagin;1;
imaginer;imagin;2;
imaginions;imagin;1;
imiter;imit;1;
immediat;immediat;1;
immédiat;immédiat;3;
immédiate;immédiat;1;
immédiatement;immédiat;2;
immédiateté;immédiatet;1;
immédiats;immédiat;1;
immense;immens;6;
immenses;immens;3;
immigration;immigr;2;
immigres;immigr;3;
immigrés;immigr;2;
imminent;imminent;1;
immobiles;immobil;1;
immobilisme;immobil;5;
impact;impact;1;
impartialité;impartial;1;
impatiemment;impatient;1;
impatience;impatient;4;
impatiences;impatient;1;
impatient;impatient;1;
impensable;impens;2;
impensables;impens;1;
impératif;imper;3;
impérieuse;impéri;1;
impitoyable;impitoi;1;
implacable;implac;1;
implacablement;implac;1;
implique;impliqu;2;
impliqué;impliqu;1;
impliquera;impliqu;1;
impliqueront;impliqu;1;
importance;import;6;
important;import;8;
importante;import;4;
importantes;import;2;
importations;import;1;
importe;import;2;
imposait;impos;1;
impose;impos;2;
imposé;impos;1;
imposent;imposent;4;
imposer;impos;1;
impossible;impossibl;2;
impossibles;impossibl;3;
impôt;impôt;6;
impôts;impôt;11;
impressionné;impression;1;
improvises;improvis;1;
impuissance;impuiss;1;
impulsion;impuls;1;
impunis;impun;1;
inacceptable;inaccept;2;
inacceptables;inaccept;1;
inaccessibles;inaccessibl;1;
inaction;inact;3;
incapable;incap;1;
incendie;incend;1;
incendies;incend;1;
incertain;incertain;3;
incertaine;incertain;1;
incertains;incertain;1;
incertitudes;incertitud;2;
incessante;incess;1;
inciter;incit;1;
incités;incit;1;
incivilités;incivil;1;
incline;inclin;1;
inclusion;inclus;1;
incompréhensible;incompréhensibl;1;
incompréhension;incompréhens;2;
inconciliables;inconcili;1;
inconnue;inconnu;1;
inconscience;inconscient;2;
incontestable;incontest;1;
indécise;indécis;1;
indéfectible;indéfectibl;1;
indemnisation;indemnis;1;
indemniser;indemnis;1;
indemnité;indemn;1;
indépendance;indépend;12;
independant;independ;1;
indépendant;indépend;1;
indépendante;indépend;2;
indépendants;indépend;3;
indien;indien;1;
indifférence;indifférent;1;
indirectes;indirect;1;
indispensable;indispens;10;
indispensables;indispens;7;
individualisme;individual;2;
individuel;individuel;1;
individuelles;individuel;1;
individuels;individuel;1;
individus;individus;3;
indivisible;indivisibl;1;
industrialisation;industrialis;1;
industrie;industr;8;
industriel;industriel;3;
industrielle;industriel;6;
industrielles;industriel;3;
industriels;industriel;6;
inédit;ined;2;
inédite;inédit;2;
inédites;inédit;2;
inédits;inédit;1;
inégales;inégal;1;
inégalité;inégal;1;
inegalites;inegalit;4;
inégalités;inégal;8;
inéluctable;inéluct;2;
inevitablement;inevit;1;
inexorable;inexor;1;
inextricables;inextric;1;
inférieures;inférieur;1;
infirmière;infirmi;2;
inflation;inflat;10;
influence;influenc;1;
information;inform;4;
informations;inform;1;
informatique;informat;1;
informé;inform;1;
infrastructure;infrastructur;1;
infrastructures;infrastructur;2;
ingénieurs;ingénieur;3;
initiative;initi;10;
initiatives;initi;15;
injuste;injust;4;
injustice;injustic;9;
injustices;injustic;4;
injustifiée;injustifi;2;
inlassablement;inlass;2;
innocent;innocent;1;
innovante;innov;2;
innovants;innov;1;
innovation;innov;7;
innovations;innov;3;
innover;innov;5;
inondation;inond;1;
inondations;inond;4;
inouïe;inouï;1;
inquiètent;inquiètent;4;
inquiets;inquiet;1;
inquiétude;inquiétud;5;
inquiétudes;inquiétud;7;
insatisfaction;insatisfact;1;
inscrire;inscrir;1;
inscrit;inscrit;5;
insécurité;insécur;2;
inséparable;insépar;1;
insérer;inser;2;
insérés;inser;1;
insertion;insert;5;
insistance;insist;2;
insisterai;insist;1;
insolubles;insolubl;1;
inspecteurs;inspecteur;2;
inspire;inspir;1;
inspiré;inspir;2;
inspirent;inspirent;2;
inspirer;inspir;2;
instabilité;instabl;2;
installation;install;1;
installent;installent;1;
installer;install;6;
installes;install;1;
installés;install;1;
instant;instant;5;
instants;instant;3;
instauration;instaur;1;
instauré;instaur;1;
instaurer;instaur;3;
instaurons;instauron;1;
instinct;instinct;2;
institut;institut;1;
institutions;institu;11;
instruire;instruir;3;
instrument;instrument;3;
instrumentalisées;instrumentalis;1;
instruments;instrument;1;
insuffisamment;insuffis;2;
insuffisances;insuffis;1;
insuffisants;insuffis;1;
insulter;insult;1;
insupportable;insupport;1;
insurmontables;insurmont;1;
intangibilité;intangibil;1;
intangible;intangibl;2;
intégration;integr;3;
intégrer;integr;1;
intelligence;intelligent;8;
intelligente;intelligent;4;
intense;intens;4;
intensément;intens;2;
intenses;intens;1;
intensifié;intensifi;1;
intensifier;intensifi;2;
intensité;intens;1;
interdépendance;interdépend;1;
interdicion;interdicion;1;
interdiction;interdict;1;
interdire;interdir;1;
interdit;interd;1;
interdits;interdit;2;
interessent;interessent;1;
intérêt;intérêt;21;
intérêts;intérêt;15;
intereuropéennes;intereuropéen;2;
intérieur;intérieur;5;
intérieure;intérieur;1;
interlocuteurs;interlocuteur;1;
international;international;7;
internationale;international;8;
internationales;international;2;
internationaux;international;3;
internats;internat;1;
internet;internet;5;
interposer;interpos;1;
interrogations;interrog;3;
interroge;interrog;1;
interrogent;interrogent;1;
interroger;interrog;2;
interrogeront;interrog;1;
interrogez;interrog;2;
intervention;intervent;2;
interventions;intervent;1;
intervenu;intervenu;2;
intervenus;intervenus;1;
interview;interview;1;
intime;intim;2;
intimement;intim;1;
intimes;intim;2;
intimider;intimid;1;
intolérance;intoler;1;
intoxications;intox;1;
intraitable;intrait;1;
intransigeant;intransig;1;
intransigeants;intransig;1;
introduite;introduit;1;
introduites;introduit;1;
intuition;intuit;1;
inutile;inutil;2;
inutilement;inutil;2;
inutiles;inutil;4;
invente;invent;2;
inventé;invent;1;
inventer;invent;12;
inventerons;invent;1;
inventeurs;inventeur;1;
inventif;invent;1;
inventifs;invent;1;
invention;invent;2;
inventivité;invent;2;
inventons;inventon;1;
inverse;invers;1;
inverser;invers;1;
investi;invest;1;
investir;invest;8;
investissant;invest;3;
investissement;invest;12;
investissements;invest;6;
investissent;invest;1;
invisible;invisibl;1;
invitation;invit;1;
invite;invit;2;
invitent;invitent;2;
irai;irai;1;
irak;irak;7;
iran;iran;2;
irlande;irland;1;
irons;iron;2;
iront;iront;1;
irréconciliables;irréconcili;1;
irrégularité;irrégular;1;
irresponsable;irrespons;1;
islamisme;islam;1;
islamiste;islam;3;
isle;isle;1;
ismailia;ismaili;1;
isolant;isol;1;
isolées;isol;1;
isolement;isol;7;
isoler;isol;1;
isoles;isol;1;
isolés;isol;1;
israël;israël;3;
issu;issu;1;
issue;issu;2;
italie;ital;2;
iter;iter;1;
itinéraire;itinérair;1;
itinéraires;itinérair;1;
ivoire;ivoir;1;
ixème;ixem;1;
jadis;jad;1;
jai;jai;1;
jalonnée;jalon;1;
jalonneront;jalon;1;
jalousement;jalous;1;
jamais;jam;49;
janvier;janvi;13;
japon;japon;2;
jappelle;jappel;1;
jassume;jassum;1;
jaunes;jaun;1;
jean;jean;6;
jeu;jeu;4;
jeune;jeun;9;
jeunes;jeun;41;
jeunesse;jeuness;19;
jinterviendrai;jinterviendr;1;
joie;joi;10;
joies;joi;4;
joli;jol;1;
joue;jou;3;
joué;jou;1;
jouer;jou;9;
jouons;jouon;2;
jour;jour;39;
journalistes;journal;1;
jours;jour;25;
joyau;joyau;1;
joyeusement;joyeux;1;
joyeux;joyeux;3;
judiciaire;judiciair;1;
jugées;jug;1;
juger;jug;1;
juifs;juif;1;
juillet;juillet;2;
juin;juin;1;
jurés;jur;1;
jusqu;jusqu;18;
jusque;jusqu;1;
juste;just;22;
justement;just;4;
justice;justic;40;
justifié;justifi;1;
justifiées;justifi;1;
justifier;justifi;4;
juxtaposées;juxtapos;1;
kiev;kiev;1;
kilomètres;kilometr;1;
kinshasa;kinshas;1;
kosovo;kosovo;2;
lacet;lacet;1;
lâches;lâch;1;
lâchons;lâchon;1;
lactivité;lactiv;1;
lacuité;lacuit;1;
laddition;laddit;2;
laïcité;laïqu;14;
laïque;laïqu;2;
laissait;laiss;1;
laissant;laiss;1;
laisse;laiss;5;
laissé;laiss;1;
laissée;laiss;1;
laisser;laiss;3;
laissera;laiss;4;
laisserai;laiss;6;
laisserons;laiss;1;
laissés;laiss;2;
laissons;laisson;2;
lan;lan;1;
lancé;lanc;5;
lancée;lanc;1;
lancement;lanc;2;
lancer;lanc;1;
lancerons;lanc;1;
langage;langag;1;
langue;langu;4;
langueur;langueur;2;
lannée;lann;1;
laquelle;laquel;6;
large;larg;1;
largement;larg;6;
larmes;larm;1;
lassé;lass;2;
lassés;lass;1;
lassitude;lassitud;1;
latine;latin;1;
laube;laub;1;
lavenir;laven;3;
léchange;léchang;1;
leçon;leçon;5;
leçons;leçon;3;
lecteurs;lecteur;1;
légataire;légatair;1;
legislatives;legisl;1;
législatives;législ;4;
légitime;légitim;2;
legitimement;legitim;1;
légitimes;légitim;3;
léguer;légu;1;
léguerons;légu;1;
lèguerons;lègu;1;
lemploi;lemploi;2;
lendemain;lendemain;1;
lendemains;lendemain;1;
lentement;lent;2;
lenteur;lenteur;2;
lenteurs;lenteur;1;
lentraide;lentraid;1;
lequel;lequel;12;
lesprit;lespr;1;
lesquelles;lesquel;2;
lesquels;lesquel;3;
letat;letat;2;
létranger;létrang;1;
lettre;lettr;2;
leuro;leuro;3;
leurope;leurop;3;
levant;lev;1;
lever;lev;1;
levés;lev;1;
levier;levi;1;
leviers;levi;1;
lexcès;lexces;1;
lexclusion;lexclus;1;
lhistoire;lhistoir;1;
liban;liban;2;
liberale;liberal;1;
libération;liber;4;
libéré;liber;1;
libérer;liber;9;
libérés;liber;2;
liberte;libert;12;
liberté;libert;40;
libertés;libert;16;
libraire;librair;2;
libre;libr;7;
librement;libr;1;
libres;libr;5;
libye;liby;1;
licencie;licenc;1;
licenciement;licenci;1;
licenciements;licenci;3;
licenciés;licenci;1;
lidéal;lidéal;1;
lie;li;2;
lié;li;3;
liée;li;1;
liées;li;1;
lien;lien;2;
lier;li;1;
liés;li;1;
lieu;lieu;5;
lieux;lieux;1;
lievin;lievin;1;
ligne;lign;6;
lignes;lign;2;
ligue;ligu;2;
lille;lill;1;
limitant;limit;1;
limite;limit;2;
limiter;limit;2;
limites;limit;3;
limoges;limog;2;
limportant;limport;1;
lintégration;lintegr;1;
lire;lir;1;
lisbonne;lisbon;1;
liste;list;3;
litterature;litteratur;1;
littoral;littoral;1;
livre;livr;1;
livrent;livrent;2;
livrer;livr;1;
livres;livr;1;
locale;local;2;
locales;local;3;
logement;log;8;
logements;log;6;
loger;log;1;
logés;log;1;
logique;logiqu;1;
logis;log;1;
loi;loi;25;
loin;loin;20;
lointain;lointain;1;
lointains;lointain;3;
lois;lois;8;
lon;lon;3;
londres;londr;2;
long;long;12;
longs;long;1;
longtemps;longtemp;19;
longue;longu;12;
longues;longu;1;
lordre;lordr;1;
lors;lor;11;
lorsqu;lorsqu;9;
lorsque;lorsqu;12;
lot;lot;1;
lourde;lourd;3;
lourdement;lourd;1;
lourdes;lourd;2;
lourds;lourd;3;
louvre;louvr;1;
loyer;loi;1;
luc;luc;2;
lucas;luc;2;
lucide;lucid;1;
lucides;lucid;2;
lucidité;lucid;6;
lugubre;lugubr;1;
lumière;lumi;2;
lundi;lund;3;
lunité;lunit;1;
luttant;lutt;3;
lutte;lutt;25;
luttent;luttent;3;
lutter;lutt;14;
lutterai;lutt;1;
lutterons;lutt;1;
luttes;lutt;1;
luxe;lux;1;
lycée;lyc;3;
maastricht;maastricht;3;
macédoine;macédoin;1;
macron;macron;1;
madame;madam;1;
mademoiselle;mademoisel;1;
madrid;madrid;1;
magnanville;magnanvill;1;
magnifique;magnif;5;
mai;mai;9;
main;main;12;
mains;main;5;
maintenant;mainten;18;
maintenir;mainten;3;
maintenons;maintenon;1;
maintenu;maintenu;1;
maintes;maint;1;
maintienne;maintien;1;
maires;mair;2;
maison;maison;5;
maisons;maison;5;
maîtres;maîtr;1;
maîtrisait;maîtris;1;
maîtrise;maîtris;9;
maîtrisée;maîtris;1;
maîtrisées;maîtris;1;
maîtriser;maîtris;3;
majeur;majeur;4;
majeure;majeur;1;
majeures;majeur;2;
majeurs;majeur;5;
majorité;major;7;
mal;mal;8;
malades;malad;16;
maladie;malad;9;
maladies;malad;1;
malaise;malais;4;
malgre;malgr;4;
malgré;malgr;16;
malheur;malheur;4;
malheureusement;malheur;1;
malheureux;malheur;4;
malheurs;malheur;2;
mali;mal;6;
malmené;malmen;1;
malmenée;malmen;1;
maltraitee;maltraite;1;
manche;manch;1;
mandat;mandat;7;
mandats;mandat;2;
maniere;manier;2;
manière;mani;8;
manières;mani;1;
manipulations;manipul;3;
manoeuvre;manoeuvr;1;
manquaient;manqu;1;
manquait;manqu;1;
manquant;manqu;1;
manque;manqu;3;
manquement;manqu;1;
manquent;manquent;1;
manquerai;manqu;1;
manquons;manquon;1;
manuel;manuel;2;
marc;marc;1;
marchandises;marchandis;1;
marche;march;10;
marché;march;5;
marchent;marchent;1;
marchés;march;8;
marée;mar;1;
marées;mar;1;
marges;marg;1;
mari;mar;1;
mariage;mariag;2;
marie;mar;2;
marin;marin;1;
maritimes;maritim;2;
marocains;marocain;1;
marquantes;marqu;1;
marqué;marqu;3;
marquée;marqu;2;
marquer;marqu;1;
marqueront;marqu;1;
marquons;marquon;1;
mars;mar;7;
marseillaise;marseillais;1;
marseille;marseil;3;
martyres;martyr;1;
martyrisés;martyris;2;
masque;masqu;1;
masques;masqu;2;
massacres;massacr;1;
masse;mass;1;
massif;massif;4;
massifs;massif;1;
matchs;match;2;
matérielle;matériel;1;
matérielles;matériel;1;
matière;mati;8;
matières;mati;1;
matin;matin;5;
maturité;matur;2;
mauricette;mauricet;2;
mauvaise;mauvais;1;
mauvaises;mauvais;2;
maux;maux;1;
maxime;maxim;2;
maximum;maximum;1;
mds;md;1;
mécanique;mécan;1;
mecontentement;mecontent;1;
mécontenter;mécontent;1;
médecine;médecin;4;
médecins;médecin;6;
medhi;medh;2;
médicales;médical;1;
méditerranée;méditerran;2;
meilleur;meilleur;12;
meilleure;meilleur;6;
meilleures;meilleur;5;
meilleurs;meilleur;9;
mêlent;mêlent;2;
membres;membr;4;
meme;mem;10;
memes;mem;2;
mêmes;mêm;28;
mémoire;mémoir;4;
mémoires;mémoir;1;
menaçant;menac;1;
menace;menac;7;
menacé;menac;1;
menacée;menac;3;
menacées;menac;2;
menacent;menacent;2;
menaces;menac;4;
menacés;menac;2;
ménager;ménag;1;
mène;men;1;
menée;men;2;
menées;men;3;
mener;men;3;
mènerai;men;2;
mènerons;men;1;
menons;menon;1;
mensonges;mensong;4;
mentalités;mental;3;
mépris;mepr;1;
mer;mer;35;
merci;merc;2;
mères;mer;2;
mérite;mérit;9;
méritent;méritent;2;
mers;mer;1;
message;messag;13;
mesure;mesur;14;
mesurer;mesur;3;
mesures;mesur;12;
mesurons;mesuron;4;
met;met;3;
metal;metal;1;
méthode;méthod;1;
métier;méti;3;
métiers;méti;3;
métro;métro;1;
métropole;métropol;23;
mets;met;1;
mettaient;met;1;
mettant;met;3;
mettent;mettent;4;
mettons;metton;2;
mettra;mettr;1;
mettraient;mettr;1;
mettre;mettr;17;
meurent;meurent;1;
meurtres;meurtr;1;
meurtriers;meurtri;1;
meurtris;meurtr;1;
mi;mi;1;
mien;mien;1;
mienne;mien;2;
miennes;mien;1;
mieux;mieux;70;
migrations;migrat;3;
mikhaïl;mikhaïl;1;
milieu;milieu;4;
milieux;milieux;1;
militaire;militair;1;
militaires;militair;8;
milité;milit;1;
mille;mill;6;
millénaire;millénair;4;
milliards;milliard;2;
milliers;milli;8;
millions;million;18;
minent;minent;2;
miniere;minier;1;
minima;minim;1;
minimale;minimal;1;
minimum;minimum;5;
ministre;ministr;19;
ministres;ministr;2;
minorités;minor;2;
minuit;minuit;1;
minute;minut;1;
minutes;minut;1;
miquelon;miquelon;1;
miracles;miracl;1;
mis;mis;10;
mise;mis;14;
miser;mis;3;
misere;miser;2;
misère;miser;6;
mises;mis;4;
mission;mission;12;
missions;mission;5;
mm;mm;1;
mme;mme;2;
mobile;mobil;2;
mobilisant;mobilis;1;
mobilisation;mobilis;11;
mobilisatrice;mobilis;1;
mobilise;mobilis;3;
mobilisé;mobilis;2;
mobilisées;mobilis;1;
mobilisent;mobilisent;2;
mobiliser;mobilis;8;
mobilisés;mobilis;7;
mobilité;mobil;1;
mode;mod;1;
modèle;model;11;
modèles;model;1;
modérer;moder;1;
moderne;modern;8;
modernes;modern;6;
modernisation;modernis;6;
modernise;modernis;1;
modernisent;modernisent;1;
moderniser;modernis;5;
modernisons;modernison;1;
modernité;modern;5;
modestes;modest;6;
modifié;modifi;1;
modulées;modul;1;
moins;moin;35;
mois;mois;65;
moitie;moit;1;
moitié;moiti;1;
moment;moment;34;
moments;moment;11;
monde;mond;141;
mondial;mondial;5;
mondiale;mondial;13;
mondiales;mondial;3;
mondialisation;mondialis;10;
mondialiste;mondial;1;
mondiaux;mondial;1;
monétaire;monétair;3;
monnaie;monnai;10;
monnaies;monnai;1;
monsieur;monsieur;1;
montée;mont;2;
montent;montent;2;
montre;montr;3;
montré;montr;10;
montrent;montrent;1;
montrer;montr;2;
montrouge;montroug;1;
monuments;monu;1;
moral;moral;2;
morale;moral;4;
morales;moral;1;
moraliser;moralis;2;
moratoire;moratoir;1;
morceaux;morceau;1;
mort;mort;4;
morts;mort;3;
moscowa;moscow;1;
mosquée;mosqu;1;
mot;mot;11;
motif;motif;2;
mots;mot;5;
mourir;mour;1;
mouvement;mouv;6;
mouvements;mouv;1;
moyen;moyen;4;
moyennes;moyen;2;
moyens;moyen;25;
multi;mult;1;
multilatéralisme;multilatéral;1;
multiples;multipl;3;
multiplient;multiplient;3;
multiplier;multipli;3;
municipales;municipal;2;
murs;mur;4;
mutations;mutat;1;
naguère;naguer;3;
naissance;naissanc;3;
naître;naîtr;7;
naïveté;naïvet;1;
nation;nation;62;
national;national;18;
nationale;national;37;
nationales;national;1;
nationalisations;nationalis;1;
nationalisme;national;1;
nationalistes;national;2;
nationalité;national;2;
nationalités;national;1;
nationaux;national;1;
nations;nation;16;
nature;natur;3;
naturel;naturel;3;
naturellement;naturel;4;
naturelles;naturel;5;
naturels;naturel;2;
natures;natur;1;
navigation;navig;1;
necessaire;necessair;2;
nécessaire;nécessair;15;
necessaires;necessair;1;
nécessaires;nécessair;14;
nécessité;nécess;5;
nécessitera;nécessit;1;
née;né;1;
nées;né;1;
négation;négat;1;
négligée;néglig;1;
négociable;négoci;2;
négociables;négoci;1;
négociation;négoci;7;
négociations;négoci;3;
négocié;négoci;1;
négocier;négoci;1;
nest;nest;3;
neuf;neuf;3;
ni;ni;31;
nice;nic;4;
nient;nient;1;
nier;ni;3;
niveau;niveau;7;
niveaux;niveau;2;
nobel;nobel;1;
noble;nobl;1;
noel;noel;1;
noël;noël;5;
noie;noi;1;
noire;noir;2;
nom;nom;33;
nombre;nombr;19;
nombreuses;nombreux;5;
nombreux;nombreux;12;
nommé;nomm;1;
non;non;28;
nord;nord;10;
normal;normal;3;
nostalgie;nostalg;2;
notamment;not;20;
notation;notat;1;
nôtre;nôtr;16;
nôtres;nôtr;3;
nourrir;nourr;2;
nourrissent;nourr;2;
nourrit;nourr;1;
nouveau;nouveau;30;
nouveaux;nouveau;22;
nouvel;nouvel;18;
nouvelle;nouvel;57;
nouvelles;nouvel;31;
novembre;novembr;1;
nucleaire;nucleair;1;
nucléaire;nucléair;4;
nucléaires;nucléair;1;
nuds;nud;1;
nuire;nuir;1;
nuit;nuit;6;
nul;nul;4;
nulle;null;2;
numérique;numer;10;
numériser;numéris;1;
ny;ny;1;
objectif;object;14;
objectifs;object;4;
objet;objet;3;
obligation;oblig;4;
obligatoire;obligatoir;2;
oblige;oblig;3;
obligés;oblig;1;
obscurantisme;obscurant;2;
obscurantismes;obscurant;1;
observateurs;observ;1;
observe;observ;1;
observer;observ;1;
observerai;observ;1;
obsession;obsess;1;
obstacle;obstacl;1;
obstacles;obstacl;5;
obstination;obstin;1;
obtenir;obten;5;
obtiendrons;obtiendron;1;
obtiennent;obtiennent;1;
occasion;occas;14;
occident;occident;2;
occidental;occidental;1;
occidentale;occidental;1;
occidentales;occidental;1;
occulter;occult;1;
occupe;occup;1;
occuper;occup;1;
océan;océan;1;
océans;océan;1;
octobre;octobr;2;
odeur;odeur;1;
œuvrant;œuvr;2;
œuvre;œuvr;3;
oeuvre;oeuvr;11;
oeuvrent;oeuvrent;1;
œuvrer;œuvr;2;
oeuvrer;oeuvr;2;
oeuvrerai;oeuvr;1;
offert;offert;2;
offertes;offert;2;
offrant;offrant;1;
offre;offre;3;
offrir;offrir;1;
oh;oh;2;
onéreuse;oner;1;
ongles;ongle;1;
onu;onu;1;
opep;opep;1;
opération;oper;2;
opérations;oper;2;
opinion;opinion;2;
opinions;opin;3;
opportunité;opportun;1;
opportunités;opportun;2;
opposable;oppos;1;
opposer;oppos;3;
opposerai;oppos;1;
opposition;opposit;1;
oppositions;opposit;1;
oppression;oppress;4;
opprime;opprim;1;
opprimés;opprim;2;
optimisme;optim;2;
optimiste;optim;3;
options;option;1;
or;or;5;
ordinateur;ordin;1;
ordonnant;ordon;1;
ordonne;ordon;1;
ordre;ordre;20;
organisant;organis;1;
organisation;organis;12;
organisations;organis;4;
organisé;organis;1;
organisee;organise;1;
organisée;organis;1;
organisent;organisent;2;
organiser;organis;6;
organisions;organis;1;
organismes;organ;1;
orient;orient;6;
orientation;orient;2;
orientées;orient;1;
orienter;orient;1;
originaire;originair;2;
origine;origin;7;
origines;origin;7;
osé;osé;1;
otage;otag;1;
otages;otag;3;
où;où;87;
oubliant;oubli;1;
oublie;oubl;6;
oubliées;oubli;1;
oublient;oublient;1;
oublier;oubli;6;
oublierons;oubli;2;
oubliés;oubli;1;
oubliez;oubl;1;
oublions;oublion;5;
ouest;ouest;6;
oui;oui;21;
outil;outil;1;
outre;outr;33;
outreau;outreau;1;
outremer;outrem;1;
ouvert;ouvert;9;
ouverte;ouvert;5;
ouvertes;ouvert;1;
ouverts;ouvert;3;
ouverture;ouvertur;7;
ouvrant;ouvr;5;
ouvre;ouvr;17;
ouvrent;ouvrent;3;
ouvriers;ouvri;3;
ouvrir;ouvr;13;
ouvrira;ouvr;1;
ouvrirons;ouvr;1;
ouvrons;ouvron;1;
pacification;pacif;1;
pacte;pact;7;
paie;pai;2;
pair;pair;1;
paix;paix;63;
palestiniens;palestinien;1;
pâlissent;pâl;1;
pandémie;pandem;6;
pans;pan;2;
pansements;pans;1;
paperasserie;paperasser;1;
parachèvera;parachev;1;
paradis;parad;1;
paraissaient;paraiss;1;
paraissait;paraiss;1;
paraissent;paraissent;2;
paraît;paraît;3;
parallèlement;parallel;2;
parc;parc;3;
parcours;parcour;4;
